"participant","expertise","recruitment","piece","version","liking","3d_impression","items","imei1","imei2","imei3","imei4","imei5","imei6","imei7","imei8","imei9","imei10","imei11","imei12","imei13","imei14","imei15","imei16","imei17","imei18","imei19","imei20","imei21","imei22","imei23","imei24","imei25","MFRM"
1,0,1,1,1,1,4,"1-25",4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,4,4,3,4,1
2,0,1,1,1,2,2,"1-25",2,2,3,3,3,3,3,2,3,3,2,3,3,2,2,3,2,2,3,3,2,3,2,3,3,1
3,0,1,1,1,2,3,"1-25",3,3,2,3,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1
4,0,1,1,1,4,2,"1-25",3,4,3,3,2,3,4,3,2,2,2,1,2,2,3,3,2,2,2,1,2,2,2,2,3,1
5,0,1,1,1,4,4,"1-25",4,4,3,4,4,3,3,4,4,4,2,3,2,2,2,4,4,2,4,4,4,4,4,2,4,1
6,0,1,1,1,3,3,"1-25",3,3,3,3,3,3,3,2,3,2,3,2,2,2,3,3,2,2,2,1,2,2,3,2,2,1
7,0,1,1,1,3,3,"1-25",3,3,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,3,1,3,3,4,4,3,1
8,0,1,1,1,1,2,"1-25",3,2,1,1,1,2,1,2,2,1,2,1,1,1,1,3,1,1,2,1,1,3,3,1,3,1
9,0,1,1,1,2,3,"1-25",2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,2,2,2,1,1,2,2,3,2,3,1
10,1,1,1,1,4,2,"1-25",1,3,4,3,2,3,3,2,1,2,3,1,2,3,3,3,2,1,1,1,2,1,2,2,2,1
11,0,1,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,4,1,1,2,1,1
12,1,1,1,1,1,1,"1-25",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
13,0,1,1,1,2,2,"1-25",2,3,1,2,3,2,3,2,1,1,2,3,2,1,1,2,2,2,2,1,2,3,2,2,2,1
14,0,1,1,1,1,2,"1-25",1,1,3,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2,1,2,1
15,0,1,1,1,1,1,"1-25",2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1
16,1,1,1,1,3,3,"1-25",3,3,3,3,4,4,3,4,4,4,4,3,3,4,3,3,3,3,4,3,3,4,4,3,4,1
17,0,1,1,1,4,1,"1-25",1,2,3,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
18,0,1,1,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1
19,0,1,1,1,2,1,"1-25",1,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1
20,0,1,1,1,3,3,"1-25",3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,3,3,3,3,2,2,2,3,3,3,1
21,0,1,1,1,3,2,"1-25",2,3,3,3,3,2,2,2,2,2,3,2,2,2,2,3,2,3,2,2,3,2,2,2,3,1
22,0,1,1,1,3,2,"1-25",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
23,0,1,1,1,3,2,"1-25",2,1,1,2,2,2,2,1,3,2,2,2,2,2,3,1,1,3,2,1,2,2,2,2,2,1
24,0,1,1,1,3,4,"1-25",3,4,3,3,3,1,2,2,2,3,2,3,2,4,2,3,3,2,3,2,2,4,3,2,3,1
25,0,1,1,1,1,3,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
26,0,1,1,1,3,2,"1-25",2,4,3,3,3,2,3,2,2,3,4,3,2,2,3,3,2,2,2,1,2,2,1,3,2,1
27,1,1,1,1,1,3,"1-25",1,1,1,2,1,1,2,1,1,2,3,2,2,1,1,2,1,2,1,1,1,1,4,1,2,1
28,0,1,1,1,2,2,"1-25",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
29,0,1,1,1,3,3,"1-25",3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1
30,0,1,1,1,1,3,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1
31,0,1,1,1,3,1,"1-25",1,1,1,2,1,2,1,2,2,2,2,2,3,1,1,1,1,2,1,1,1,2,1,1,1,1
33,0,1,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0,1,1,1,1,2,"1-25",1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1
38,0,1,1,1,3,2,"1-25",2,2,2,2,2,2,1,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,1
39,0,1,1,1,1,2,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
40,0,1,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0,1,1,1,3,3,"1-25",2,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,2,2,3,2,3,2,3,3,3,1
43,0,1,1,1,3,4,"1-25",3,3,3,4,3,2,2,1,2,2,2,2,3,2,2,3,2,3,3,2,2,3,4,3,3,1
44,0,1,1,1,2,3,"1-25",3,3,2,3,3,3,2,3,3,3,3,3,2,2,2,3,3,3,2,2,3,3,3,3,3,1
46,0,1,1,1,1,3,"1-25",1,4,1,2,1,1,1,1,3,1,2,2,2,1,2,1,2,2,2,1,1,3,2,1,3,1
47,0,1,1,1,2,1,"1-25",1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
49,0,1,1,1,3,3,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1
50,0,1,1,1,2,1,"1-25",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,1,1,1,1,2,1
51,0,1,1,1,2,2,"1-25",3,2,1,3,2,2,2,2,2,3,3,2,2,3,2,2,1,2,1,3,2,1,1,2,2,1
52,0,1,1,1,4,4,"1-25",3,4,4,3,3,4,4,4,3,3,2,2,3,3,2,4,2,3,3,1,3,2,4,3,4,1
53,0,1,1,1,2,1,"1-25",2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,3,1,2,1,1,3,1
54,0,1,1,1,3,3,"1-25",3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,1
55,0,1,1,1,2,2,"1-25",2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,1
56,0,1,1,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
57,0,1,1,1,1,2,"1-25",3,2,2,2,1,3,3,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1
58,0,1,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
59,0,1,1,1,3,4,"1-25",4,3,3,3,4,4,4,3,2,2,2,2,3,3,2,4,3,3,3,1,4,4,3,3,3,1
60,0,1,1,1,3,1,"1-25",2,2,2,1,2,2,2,2,2,2,3,2,2,2,1,1,2,1,1,3,2,1,1,2,1,1
61,0,1,1,1,4,4,"1-25",4,4,4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,1
63,0,1,1,1,4,1,"1-25",2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1
66,0,1,1,1,2,1,"1-25",1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
67,0,1,1,1,4,3,"1-25",4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,4,1
68,0,1,1,1,1,1,"1-25",1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,1
69,0,1,1,1,3,2,"1-25",3,3,2,3,3,3,4,2,2,3,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,1
71,0,1,1,1,4,3,"1-25",3,3,4,3,3,3,3,4,4,3,4,3,3,3,4,4,4,4,3,4,3,3,3,3,3,1
72,0,1,1,1,3,4,"1-25",4,4,4,3,4,3,4,3,4,3,4,4,1,1,3,3,4,1,3,2,4,3,4,3,4,1
74,1,1,1,1,4,4,"1-25",3,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3,4,3,3,4,4,4,4,1
75,0,1,1,1,4,3,"1-25",4,4,4,4,2,3,4,2,3,3,2,3,1,1,4,3,2,2,2,1,2,2,2,1,3,1
76,1,1,1,1,2,2,"1-25",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
77,0,1,1,1,1,1,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,0,1,1,1,3,2,"1-25",2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
80,0,1,1,1,1,1,"1-25",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1
83,0,1,1,1,4,1,"1-25",1,3,3,3,2,2,2,1,2,2,2,2,1,3,3,1,1,1,2,2,2,1,1,1,2,1
84,0,1,1,1,3,3,"1-25",2,3,2,3,2,2,2,2,2,2,2,2,3,1,2,3,2,3,3,2,2,3,3,2,3,1
85,0,1,1,1,3,4,"1-25",4,4,3,4,4,3,4,3,3,4,4,4,3,2,3,4,3,3,4,1,4,4,4,3,4,1
87,0,1,1,1,2,1,"1-25",1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
88,0,1,1,1,3,2,"1-25",2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1
89,0,1,1,1,4,3,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,4,3,4,3,3,1
90,0,1,1,1,3,3,"1-25",3,3,3,3,2,3,3,3,2,2,2,1,3,3,1,3,1,2,2,2,3,2,3,2,4,1
91,0,1,1,1,3,1,"1-25",1,3,3,3,2,2,4,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1
92,0,1,1,1,1,2,"1-25",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1
93,0,1,1,1,4,2,"1-25",2,4,4,4,3,2,4,4,3,2,3,3,2,2,2,2,3,2,2,3,3,2,2,2,2,1
94,0,1,1,1,3,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,1
95,0,1,1,1,1,3,"1-25",2,2,2,2,1,2,1,1,3,3,2,1,1,1,1,3,1,2,1,2,2,2,3,1,4,1
96,0,1,1,1,3,3,"1-25",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1
97,0,1,1,1,2,2,"1-25",3,1,2,3,2,1,1,1,2,3,3,3,2,2,2,2,3,3,2,2,2,2,3,3,3,1
98,0,1,1,1,3,2,"1-25",3,2,3,3,2,3,3,3,3,3,3,3,1,2,1,3,3,1,2,3,2,2,2,3,2,1
99,0,1,1,1,4,3,"1-25",3,4,4,4,3,3,4,4,3,3,3,3,2,2,4,4,3,2,3,1,2,3,2,3,3,1
100,0,1,1,1,4,4,"1-25",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
101,0,1,1,1,1,2,"1-25",1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,4,1,1,1,1,2,1
103,0,1,1,1,1,2,"1-25",2,3,2,3,2,2,3,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1
104,0,1,1,1,3,4,"1-25",4,4,4,4,4,3,3,2,2,2,3,2,3,3,3,4,3,3,4,3,4,3,4,3,4,1
105,0,1,1,1,3,4,"1-25",3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,1
106,0,1,1,1,2,3,"1-25",3,1,2,2,2,1,1,1,1,1,1,1,2,1,2,3,1,3,2,1,2,2,2,2,3,1
107,0,1,1,1,2,1,"1-25",1,3,3,2,1,2,2,2,2,2,3,1,1,1,1,2,3,1,1,1,2,1,1,1,2,1
