"participant","occupation","age","gender","music_related_profession_study","listening_live","listening_headphones","listening_stereo","listening_multichannel","listening_background","classical_music","main_music_genre","stimulus_familiarity","stimulus_familiarity_very_well","familiarity_3d_audio"
1,"tonmeister",20,"m",TRUE,2,5,4,1,4,"regularly","mainly other genres",TRUE,FALSE,"listened to music in 3d audio"
2,"tonmeister",28,"m",TRUE,4,3,5,1,5,NA,"mainly other genres",TRUE,FALSE,"listened to music in 3d audio"
3,"tonmeister",28,"m",TRUE,5,5,3,1,3,"rarely","mainly other genres",TRUE,FALSE,"listened to music in 3d audio"
4,"tonmeister",27,"m",TRUE,3,5,5,2,3,"regularly",NA,TRUE,TRUE,"listened to music in 3d audio"
5,"musician",32,"f",TRUE,5,5,5,2,4,"regularly",NA,TRUE,FALSE,"no"
6,"food chemistry",27,"f",FALSE,3,2,2,1,3,"occasionally",NA,FALSE,FALSE,"listened to music in 3d audio"
7,"tonmeister",28,"m",TRUE,4,5,3,3,3,"occasionally",NA,TRUE,FALSE,"listened to music in 3d audio"
8,"sociologist",53,"f",FALSE,5,1,5,1,2,"regularly",NA,TRUE,FALSE,"heard or read about it"
9,"musician",24,"m",TRUE,4,5,4,2,4,"regularly",NA,TRUE,TRUE,"heard or read about it"
10,"musical acoustics",33,"f",TRUE,3,4,4,2,5,"occasionally",NA,TRUE,FALSE,"listened to music in 3d audio"
11,"tonmeister",25,"m",TRUE,4,4,5,1,4,"rarely","mainly other genres",FALSE,FALSE,"listened to music in 3d audio"
12,"tonmeister",28,"m",TRUE,4,5,5,4,5,"regularly",NA,TRUE,TRUE,"listened to music in 3d audio"
13,"tonmeister",21,"m",TRUE,4,2,5,1,3,"regularly",NA,TRUE,FALSE,"listened to music in 3d audio"
14,"tonmeister",26,"m",TRUE,4,2,5,3,4,"regularly",NA,TRUE,FALSE,"listened to music in 3d audio"
15,"musical acoustics",38,"m",FALSE,2,3,4,1,2,"occasionally","mainly other genres",FALSE,FALSE,"heard or read about it"
16,"office administrator",35,"f",FALSE,2,1,5,2,5,"rarely",NA,FALSE,FALSE,"heard or read about it"
17,"pupil",15,"f",FALSE,3,5,3,2,3,"occasionally",NA,FALSE,FALSE,"heard or read about it"
18,"tonmeister",24,"m",TRUE,4,3,4,1,5,"occasionally","mainly other genres",TRUE,FALSE,"listened to music in 3d audio"
19,"tonmeister",24,"m",TRUE,3,5,3,2,3,"occasionally",NA,TRUE,FALSE,"heard or read about it"
20,"archeology",30,"m",FALSE,2,5,4,3,5,"rarely",NA,FALSE,FALSE,"no"
21,"tonmeister",23,"m",TRUE,4,5,5,2,3,"regularly",NA,TRUE,FALSE,"listened to music in 3d audio"
22,"tonmeister/acoustics",28,"m",TRUE,4,5,5,3,3,"occasionally",NA,FALSE,FALSE,"listened to music in 3d audio"
23,"business studies",26,"m",FALSE,2,5,4,1,3,NA,"mainly other genres",FALSE,FALSE,"heard or read about it"
24,"tonmeister",26,"m",TRUE,3,4,5,4,2,"regularly",NA,TRUE,FALSE,"listened to music in 3d audio"
25,"tonmeister",25,"m",TRUE,3,5,4,2,3,"regularly",NA,TRUE,FALSE,"listened to music in 3d audio"
26,"social worker",27,"m",FALSE,2,4,3,1,5,NA,"mainly other genres",FALSE,FALSE,"listened to music in 3d audio"
27,"musician",63,"f",TRUE,5,2,5,1,1,"regularly",NA,TRUE,FALSE,"heard or read about it"
28,"musician",54,"m",TRUE,3,1,5,1,2,"regularly",NA,TRUE,FALSE,"listened to music in 3d audio"
29,"musician",22,"f",TRUE,5,4,4,3,5,"regularly",NA,TRUE,FALSE,"no"
30,"tonmeister",24,"m",TRUE,5,3,5,2,2,"regularly",NA,TRUE,FALSE,"heard or read about it"
31,"food science",27,"m",FALSE,3,4,2,2,5,"rarely",NA,FALSE,FALSE,"no"
32,"tonmeister",21,"m",TRUE,4,3,5,2,3,"regularly",NA,TRUE,TRUE,"listened to music in 3d audio"
33,"tonmeister",25,"m",TRUE,3,5,4,2,5,"regularly",NA,FALSE,FALSE,"listened to music in 3d audio"
34,"tonmeister",18,"m",FALSE,4,2,5,1,4,"regularly",NA,TRUE,FALSE,"heard or read about it"
35,"biologist",41,"f",FALSE,2,5,3,1,2,"rarely",NA,FALSE,FALSE,"heard or read about it"
36,"musician",27,"m",TRUE,4,2,5,2,1,"regularly",NA,TRUE,TRUE,"heard or read about it"
37,"tonmeister",46,"m",TRUE,5,5,5,5,2,"regularly",NA,TRUE,TRUE,"listened to music in 3d audio"
38,"service technician",35,"m",TRUE,3,5,5,2,5,"occasionally",NA,FALSE,FALSE,"listened to music in 3d audio"
39,"musician",62,"m",TRUE,4,4,4,2,1,"regularly",NA,TRUE,FALSE,"heard or read about it"
40,"computer scientist",51,"m",FALSE,3,3,4,2,2,"occasionally",NA,FALSE,FALSE,"listened to music in 3d audio"
41,"tonmeister",22,"m",TRUE,5,5,5,2,5,"occasionally","mainly other genres",TRUE,FALSE,"listened to music in 3d audio"
42,"musician",20,"f",TRUE,5,2,3,1,3,"regularly",NA,TRUE,FALSE,"no"
43,"horticultural engineer",52,"f",FALSE,3,1,5,1,3,"occasionally",NA,FALSE,FALSE,"no"
44,"biologist",51,"m",FALSE,2,1,4,1,5,"occasionally",NA,FALSE,FALSE,"no"
45,"musician",20,"m",TRUE,5,2,3,1,2,"regularly",NA,FALSE,FALSE,"no"
46,"musician",20,"f",TRUE,5,2,3,1,2,"regularly",NA,FALSE,FALSE,"heard or read about it"
